vol,ph,,,,
0.1,2.83,0.909090909,,,
0.21,2.93,0.675,,,
0.61,3.2,0.38,,,
1.11,3.39,0.5,,,
1.41,3.54,0.230769231,,,
1.8,3.63,0.22,,,
2.3,3.74,0.2,,,
2.6,3.8,0.172413793,,,
3.18,3.9,0.129032258,,,
3.49,3.94,0.137254902,,,
4,4.01,0.125,,,
4.4,4.06,0.1,,,
4.8,4.1,0.08,,,
5.3,4.14,0.128205128,,,
5.69,4.19,0.048780488,,,
6.1,4.21,0.15,,,
6.5,4.27,0.075,,,2.18776E-05
6.9,4.3,0.075,,,
7.3,4.33,0.068965517,,,0.004735
7.59,4.35,0.1,,,
8.09,4.4,0.048780488,,,
8.5,4.42,0.081632653,,,
8.99,4.46,0.1,,,
9.39,4.5,0.075,,,
9.79,4.53,0.033333333,,,
10.09,4.54,0.076923077,,,
10.48,4.57,0.066666667,,,
11.08,4.61,0.076923077,,,
11.47,4.64,0.102564103,,,
11.86,4.68,0.05,,,
12.26,4.7,0.048780488,,,
12.67,4.72,0.076923077,,,
13.06,4.75,0.1,,,
13.46,4.79,0.1,,,
13.76,4.82,0.05,,,
14.16,4.84,0.06,,,
14.66,4.87,0.102040816,,,
15.15,4.92,0.066666667,,,
15.45,4.94,0.075,,,
15.85,4.97,0.1,,,
16.35,5.02,0.05,,,
16.75,5.04,0.1,,,
17.15,5.08,0.097560976,,,
17.56,5.12,0.102564103,,,
17.95,5.16,0.1,,,
18.35,5.2,0.137931034,,,
18.64,5.24,0.1,,,
19.14,5.29,0.1,,,
19.64,5.34,0.170731707,,,
20.05,5.41,0.175,,,
20.45,5.48,0.15,,,
20.85,5.54,0.19047619,,,
21.06,5.58,0.211267606,,,
21.77,5.73,0.4,,,
21.82,5.75,0.333333333,,,
21.88,5.77,0.4,,,
21.93,5.79,0,,,
21.99,5.79,0.4,,,
22.04,5.81,0.5,,,
22.1,5.84,0.2,,,
22.15,5.85,0.166666667,,,
22.21,5.86,0.8,,,
22.26,5.9,0.166666667,,,
22.32,5.91,0.4,,,
22.37,5.93,0.2,,,
22.42,5.94,0.6,,,
22.47,5.97,0.5,,,
22.53,6,0.4,,,
22.58,6.02,0.166666667,,,
22.64,6.03,0.8,,,
22.69,6.07,0.4,,,
22.74,6.09,0.833333333,,,
22.8,6.14,0.2,,,
22.85,6.15,0.833333333,,,
22.91,6.2,0.8,,,
22.96,6.24,0.666666667,,,
23.02,6.28,0.8,,,
23.07,6.32,1.166666667,,,
23.13,6.39,1.2,,,
23.18,6.45,1,,,
23.24,6.51,1.8,,,
23.29,6.6,2,,,
23.34,6.7,2.166666667,,,
23.4,6.83,4,,,
23.45,7.03,6,,,
23.51,7.39,45,,,
23.56,9.64,11.16666667,,,
23.62,10.31,5.6,,,
23.67,10.59,2.5,,,
23.73,10.74,2.4,,,
23.78,10.86,1.666666667,,,
23.84,10.96,1.2,,,
23.89,11.02,1.166666667,,,
23.95,11.09,1.2,,,
24,11.15,0.666666667,,,
24.06,11.19,1,,,
24.11,11.24,0.833333333,,,
24.17,11.29,0.6,,,
24.22,11.32,0.5,,,
24.28,11.35,0.6,,,
24.33,11.38,0.333333333,,,
24.39,11.4,0.8,,,
24.44,11.44,0.333333333,,,
24.5,11.46,0.4,,,
24.55,11.48,0.5,,,
24.61,11.51,0.2,,,
24.66,11.52,0.8,,,
24.71,11.56,0.166666667,,,
24.77,11.57,0.4,,,
24.82,11.59,0.166666667,,,
24.88,11.6,0.6,,,
24.93,11.63,0.166666667,,,
24.99,11.64,0.4,,,
25.04,11.66,0.166666667,,,
25.1,11.67,0.2,,,
25.15,11.68,0.6,,,
25.2,11.71,0,,,
25.26,11.71,0.2,,,
25.31,11.72,0.166666667,,,
25.37,11.73,0.166666667,,,
25.43,11.74,0.6,,,
25.48,11.77,0.2,,,
25.53,11.78,0,,,
25.59,11.78,0.2,,,
25.64,11.79,0.333333333,,,
25.7,11.81,0.2,,,
25.75,11.82,0,,,
25.8,11.82,0.166666667,,,
25.86,11.83,0.2,,,
25.91,11.84,0.4,,,
25.96,11.86,0.166666667,,,
26.02,11.87,0,,,
26.07,11.87,0,,,
26.13,11.87,0.2,,,
26.18,11.88,0.4,,,
26.23,11.9,0,,,
26.29,11.9,0.4,,,
26.34,11.92,0,,,
26.39,11.92,0.166666667,,,
26.45,11.93,0.2,,,
26.5,11.94,0,,,
26.56,11.94,0.4,,,
26.61,11.96,0,,,
26.66,11.96,0.333333333,,,
26.72,11.98,-0.4,,,
26.77,11.96,0.166666667,,,
26.83,11.97,0.2,,,
26.88,11.98,0.166666667,,,
26.94,11.99,0,,,
26.99,11.99,0.333333333,,,
27.05,12.01,0.2,,,
27.1,12.02,0,,,
27.15,12.02,0.166666667,,,
27.21,12.03,0,,,
27.26,12.03,0,,,
27.32,12.03,0.4,,,
27.37,12.05,0,,,
27.43,12.05,0,,,
27.48,12.05,0.166666667,,,
27.54,12.06,0,,,
27.59,12.06,0.166666667,,,
27.65,12.07,0,,,
27.7,12.07,0.2,,,
27.75,12.08,0,,,
27.8,12.08,0.16,,,
28.05,12.12,0.05,,,
28.25,12.13,0,,,
28.45,12.13,0.15,,,
